diario,seccion,sustantivos,adjetivos,verbos,candidatos,terminos,etica,gestion,ideologia,personalidad,positiva,negativa,dsustantiva,dvalorativa
clarin,politica,"recorrida,barrio",porteño,"",Leandro Santoro,"recorrida,barrio,porteño,",0,0,0,0,0,0,otras,neutra
clarin,politica,"cisne,elección,duda,precandidato,espacio,economista,variante,frente,casta,crítica","negro,porteño,libertario,disruptivo,político,tradicional,igual,porteño,nacional","liderar,presentar,definir",Javier Milei,"cisne,elección,duda,precandidato,espacio,economista,variante,frente,casta,crítica,negro,porteño,libertario,disruptivo,político,tradicional,igual,porteño,nacional,liderar,presentar,definir",0,0.0306122448979592,0.0357142857142857,0.0263157894736842,0,0.0681818181818182,ideologia,negativa
clarin,politica,"cierre,campaña",exultante,"",Javier Milei,"cierre,campaña,exultante,",0,0,0,0.0526315789473684,0,0,personalidad,neutra
clarin,politica,"lista,lidera,lidera,precandidato,legislador",referente,"",Myriam Bregman,"lista,lidera,lidera,precandidato,legislador,referente,",0,0,0.0416666666666667,0,0,0.0333333333333333,ideologia,negativa
clarin,sociedad,"perla,comicio,jefe,ministro,ministra","","","Florencio Randazzo,Graciela Ocaña","perla,comicio,jefe,ministro,ministra,,",0,0.024390243902439,0.0206185567010309,0.0476190476190476,0,0,personalidad,neutra
clarin,economia,"precandidata,lado,presión,parte,asalariado","oficialista,alcanzado","decir,representar,aliviar,dejar",Victoria Tolosa Paz,"precandidata,lado,presión,parte,asalariado,oficialista,alcanzado,decir,representar,aliviar,dejar",0,0,0,0,0,0,otras,neutra
clarin,economia,"cuestión,impuesto,proyecto,impuesto,empresa,pyme,comercio,persona,año",joven,"decir,impulsar,bajar,contratar",Diego Santilli,"cuestión,impuesto,proyecto,impuesto,empresa,pyme,comercio,persona,año,joven,decir,impulsar,bajar,contratar",0,0.0449438202247191,0,0.0333333333333333,0,0,gestion,neutra
clarin,economia,"parte,régimen,impuesto,des-estimulo,inversión",exagerado,"señalar,tener,generar",Ricardo López Murphy,"parte,régimen,impuesto,des-estimulo,inversión,exagerado,señalar,tener,generar",0,0,0,0.04,0,0,personalidad,neutra
clarin,economia,"precandidato,compromiso,suba,impuesto,impuesto","nuevo,nuevo","firmar,prometer,votar,proponer",Javier Milei,"precandidato,compromiso,suba,impuesto,impuesto,nuevo,nuevo,firmar,prometer,votar,proponer",0,0.0465116279069768,0,0,0.0222222222222222,0.0285714285714286,gestion,negativa
clarin,economia,"partido,reforma,caso,régimen,reemplazo,sistema,principio,monto,jubilación,aporte,plataforma,línea,contrato,litigiosidad","liderado,laboral,previsional,actual,nuevo,fundamental,futuro,relacionado,realizado,político,parecido,nuevo,laboral","proponer,terminar,proponer,establecer,tener,expresar,señalar,necesitar,tender,generar",José Luis Espert,"partido,reforma,caso,régimen,reemplazo,sistema,principio,monto,jubilación,aporte,plataforma,línea,contrato,litigiosidad,liderado,laboral,previsional,actual,nuevo,fundamental,futuro,relacionado,realizado,político,parecido,nuevo,laboral,proponer,terminar,proponer,establecer,tener,expresar,señalar,necesitar,tender,generar",0.0188679245283019,0,0.031496062992126,0,0.0140845070422535,0.0333333333333333,ideologia,negativa
clarin,economia,"tema,proyecto,ley","junto,puntual,específico",apuntar,Martín Tetaz,"tema,proyecto,ley,junto,puntual,específico,apuntar",0,0.0487804878048781,0,0,0,0,gestion,neutra
clarin,politica,"cortocircuito,campaña,precandidato,diputado,lista,paz,búnker,resultado",interno,"encabezar,competir,firmar,compartir,esperar","Diego Santilli,Facundo Manes","cortocircuito,campaña,precandidato,diputado,lista,paz,búnker,resultado,interno,encabezar,competir,firmar,compartir,esperar",0,0.0449438202247191,0.0485436893203884,0,0,0.0833333333333333,ideologia,negativa
lanacion,politica,"carga,hombro,apoyo,retaceo,presidente,campaña,vez,carrera,tiempo,centro,ring",político,"emprender,instalar él",Victoria Tolosa Paz,"carga,hombro,apoyo,retaceo,presidente,campaña,vez,carrera,tiempo,centro,ring,político,emprender,instalar él",0,0.021978021978022,0.0285714285714286,0.0333333333333333,0,0,personalidad,neutra
lanacion,politica,"delfín,eje,inseguridad,soldado,candidatura,diputado,provincia",confirmado,repetir,"Diego Santilli,Diego Santilli","delfín,eje,inseguridad,soldado,candidatura,diputado,provincia,confirmado,repetir",0,0.0476190476190476,0,0,0,0,gestion,neutra
lanacion,politica,"tono,combate,cuerpo,éxito,contrincante,interna,coalición","moderado,cuerpo,opositor","evitar,poder,desafiar,debatir",Facundo Manes,"tono,combate,cuerpo,éxito,contrincante,interna,coalición,moderado,cuerpo,opositor,evitar,poder,desafiar,debatir",0,0,0,0,0,0,otras,neutra
lanacion,politica,"campaña,outsider,sorpresa,legislativa,2017,vez,decisión,paso,slogan,campaña",igual,"buscar,dar,pensar,participar,dar,rezar",Diego Santilli,"campaña,outsider,sorpresa,legislativa,2017,vez,decisión,paso,slogan,campaña,igual,buscar,dar,pensar,participar,dar,rezar",0,0.0212765957446809,0,0,0.0196078431372549,0,gestion,positiva
lanacion,politica,"apoyo,cúpula,alianza,aliado,base,experiencia,divulgador,aparato","inicial,posterior,extenso,científico",desafiar,Facundo Manes,"apoyo,cúpula,alianza,aliado,base,experiencia,divulgador,aparato,inicial,posterior,extenso,científico,desafiar",0,0,0,0.0714285714285714,0,0,personalidad,neutra
lanacion,politica,"creatividad,lenguaje,spot,campaña,mensaje,votante,polarización","directo,comentado,bonaerense","buscar,llegar,romper",Florencio Randazzo,"creatividad,lenguaje,spot,campaña,mensaje,votante,polarización,directo,comentado,bonaerense,buscar,llegar,romper",0.0344827586206897,0.0222222222222222,0,0,0,0,etica,neutra
lanacion,politica,"gimnasio,veda,búsqueda,voto,negociación,interna,provincia,discurso,carancho,idea,liberalismo,competidor,pelea,kirchnerismo","electoral,liberal,antikirchnerista,fallido,frontal","participar,decidir,alejar él,denominar","Florencio Randazzo,José Luis Espert","gimnasio,veda,búsqueda,voto,negociación,interna,provincia,discurso,carancho,idea,liberalismo,competidor,pelea,kirchnerismo,electoral,liberal,antikirchnerista,fallido,frontal,participar,decidir,alejar él,denominar",0,0,0.0540540540540541,0,0.0175438596491228,0,ideologia,positiva
lanacion,politica,"economista,candidato,presidente,2019,víctima,inseguridad,diputada,compañera,fórmula,voto,política,público,estrategia,ciudad,aliado","liberal,ex,provincial,listo,desencantado,joven,similar","sumar,apuntar,desarrollar","Carolina Píparo,Javier Milei","economista,candidato,presidente,2019,víctima,inseguridad,diputada,compañera,fórmula,voto,política,público,estrategia,ciudad,aliado,liberal,ex,provincial,listo,desencantado,joven,similar,sumar,apuntar,desarrollar",0,0.0505050505050505,0.0530973451327434,0.05,0,0.0204081632653061,ideologia,negativa
lanacion,politica,"extraño,campaña,semana,medio,comunicación,decisión,distrito,sueño,territorio","propio,primero,presidencial,porteño","definir,pasar,explicar,mudar él,apuntalar",María Eugenia Vidal,"extraño,campaña,semana,medio,comunicación,decisión,distrito,sueño,territorio,propio,primero,presidencial,porteño,definir,pasar,explicar,mudar él,apuntalar",0,0,0.0275229357798165,0.09375,0.0192307692307692,0.0487804878048781,personalidad,negativa
lanacion,politica,"número,lista,economía,triunfo,rival,revancha,derrota,2019,manos","contundente,interno","hablar,esperar,lograr",Martín Tetaz,"número,lista,economía,triunfo,rival,revancha,derrota,2019,manos,contundente,interno,hablar,esperar,lograr",0,0,0.0285714285714286,0,0,0.0263157894736842,ideologia,negativa
lanacion,politica,"pantalla,kirchnerismo,experiencia,año,ostracismo,carga","firme,largo,político","volver,llegar",Ricardo López Murphy,"pantalla,kirchnerismo,experiencia,año,ostracismo,carga,firme,largo,político,volver,llegar",0,0,0.0294117647058824,0.0769230769230769,0,0,personalidad,neutra
lanacion,politica,"invitación,interna,principio,rol,sparring","","aceptar,competir,renegar,asegurar,querer,condenar él",María Eugenia Vidal,"invitación,interna,principio,rol,sparring,,aceptar,competir,renegar,asegurar,querer,condenar él",0,0,0,0,0,0,otras,neutra
lanacion,politica,"campaña,defensa,libertad,kirchnerismo,voto","propuesto,económico,distante,similar,discursivo,liberal","incluir,compite",Javier Milei,"campaña,defensa,libertad,kirchnerismo,voto,propuesto,económico,distante,similar,discursivo,liberal,incluir,compite",0,0,0.0288461538461538,0,0,0,ideologia,neutra
lanacion,politica,"entrevista,economista,nacion,mística,pacto,acuerdo,lugar,lista,grupo,dirigente,ciudad,lista","radical,porteña,radical,histórico,propio","decidir,enfrentar él","Adolfo Rubinstein,Adolfo Rubinstein","entrevista,economista,nacion,mística,pacto,acuerdo,lugar,lista,grupo,dirigente,ciudad,lista,radical,porteña,radical,histórico,propio,decidir,enfrentar él",0,0.0315789473684211,0.0272727272727273,0.0588235294117647,0,0,personalidad,neutra
lanacion,politica,"discurso,lista,ministro,voto,actor,estandarte","crítico,ex,tradicional,radical","encabezar,apostar",María Eugenia Vidal,"discurso,lista,ministro,voto,actor,estandarte,crítico,ex,tradicional,radical,encabezar,apostar",0,0.0224719101123596,0.029126213592233,0.0740740740740741,0,0,personalidad,neutra
lanacion,politica,"k,busca,marca,cabeza,ciudad,vuelta,página,derrota,espacio,ciudad,representante,cantidad,voto,lista,bastión","radical,histórico,elegido,kirchnerista,sucesivo,primero,votado,principal,electoral","ir,esperar,dar,superar","Adolfo Rubinstein,Leandro Santoro,Leandro Santoro","k,busca,marca,cabeza,ciudad,vuelta,página,derrota,espacio,ciudad,representante,cantidad,voto,lista,bastión,radical,histórico,elegido,kirchnerista,sucesivo,primero,votado,principal,electoral,ir,esperar,dar,superar",0,0,0.0252100840336134,0,0.0161290322580645,0,ideologia,positiva
lanacion,politica,"antisistema,casta,campera,pelo,discurso,casta,nota,campaña,sorpresa,pandemia,crisis","político,negro,revuelto,inflamado,agresivo,político,saliente,afectado,económico",ir,Leandro Santoro,"antisistema,casta,campera,pelo,discurso,casta,nota,campaña,sorpresa,pandemia,crisis,político,negro,revuelto,inflamado,agresivo,político,saliente,afectado,económico,ir",0.027027027027027,0.0309278350515464,0.036036036036036,0,0,0.0222222222222222,ideologia,negativa
